,ID,cluster.mSP,H_vulgaris105,Gene_name,H_sapiens,P_Name,G_Name,GO_BP,Description
1281,R037167c0g1_i01,2,g23096,PPIase,PPIL3,Peptidyl-prolyl cis-trans isomerase-like 3 (PPIase) (EC 5.2.1.8) (Cyclophilin-like protein PPIL3) (Rotamase PPIL3),PPIL3 RCJMB04_4l15,protein folding [GO:0006457]; protein peptidyl-prolyl isomerization [GO:0000413],PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides.
1282,R037170c0g1_i01,3,g14048,NAN,NA,Death-associated protein kinase 2 (DAP kinase 2) (EC 2.7.11.1) (DAP-kinase-related protein 1) (DRP-1),DAPK2,anoikis [GO:0043276]; apoptotic process [GO:0006915]; intracellular signal transduction [GO:0035556]; neutrophil migration [GO:1990266]; positive regulation of eosinophil chemotaxis [GO:2000424]; positive regulation of neutrophil chemotaxis [GO:0090023]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of apoptotic process [GO:0042981]; regulation of autophagy [GO:0010506]; regulation of intrinsic apoptotic signaling pathway [GO:2001242],"Calcium/calmodulin-dependent serine/threonine kinase involved in multiple cellular signaling pathways that trigger cell survival, apoptosis, and autophagy. Regulates both type I apoptotic and type II autophagic cell death signals, depending on the cellular setting. The former is caspase-dependent, while the latter is caspase-independent and is characterized by the accumulation of autophagic vesicles. Acts as a mediator of anoikis and a suppressor of beta-catenin-dependent anchorage-independent growth of malignant epithelial cells. May play a role in granulocytic maturation (PubMed:17347302). Regulates granulocytic motility by controlling cell spreading and polarization (PubMed:24163421). ; Isoform 2 is not regulated by calmodulin. It can phosphorylate MYL9. It can induce membrane blebbing and autophagic cell death."
1283,R037191c0g1_i02,9,g14978,NAN,NA,NA,NA,NA,NA
1284,R037193c0g1_i11,4,g82,NAN,NA,Zinc metalloproteinase nas-28 (EC 3.4.24.-) (Nematode astacin 28),nas-28 F42A10.8,"molting cycle, collagen and cuticulin-based cuticle [GO:0018996]",Metalloprotease. 
1285,R037194c0g1_i01,9,g12888,NAN,HBP1,Polycomb protein PHO (Protein pleiohomeotic) (Transcription factor YY1 homolog),pho CG17743,"DNA recombination [GO:0006310]; DNA repair [GO:0006281]; DNA topological change [GO:0006265]; chromatin remodeling [GO:0006338]; chromatin silencing [GO:0006342]; chromatin-mediated maintenance of transcription [GO:0048096]; dendrite morphogenesis [GO:0048813]; gene silencing [GO:0016458]; negative regulation of gene expression [GO:0010629]; negative regulation of transcription, DNA-templated [GO:0045892]; regulation of transcription, DNA-templated [GO:0006355]","Polycomb group (PcG) protein that binds to the 5'-CNGCCATNNNNG-3' sequence found in the regulatory regions of many genes. PcG proteins act by forming multiprotein complexes, which are required to maintain the transcriptionally repressive state of homeotic genes throughout development. PcG proteins are not required to initiate repression, but to maintain it during later stages of development. They probably act via the methylation of histones, rendering chromatin heritably changed in its expressibility. Probably targets the Esc/E(z) complex to DNA. Necessary but not sufficient to recruit a functional PcG repressive complex that represses target genes, suggesting that the recruitment of the distinct PRC1 complex is also required to allow a subsequent repression. "
1286,R037199c0g1_i01,5,g23446,NAN,NA,NA,NA,NA,NA
1287,R037203c0g1_i01,8,g17289,NAN,NA,Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10) (EC 3.4.24.81) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease) (Myelin-associated metalloproteinase) (CD antigen CD156c),ADAM10 MADM,Notch signaling pathway [GO:0007219]; in utero embryonic development [GO:0001701]; membrane protein ectodomain proteolysis [GO:0006509]; negative regulation of cell adhesion [GO:0007162]; protein phosphorylation [GO:0006468],"Cleaves the membrane-bound precursor of TNF-alpha to its mature soluble form. Responsible for the proteolytical release of soluble JAM3 from endothelial cells surface (By similarity). Responsible for the proteolytic release of several other cell-surface proteins, including heparin-binding epidermal growth-like factor, ephrin-A2, CD44, CDH2 and for constitutive and regulated alpha-secretase cleavage of amyloid precursor protein (APP) (PubMed:10097139). Contributes to the normal cleavage of the cellular prion protein (By similarity). Involved in the cleavage of the adhesion molecule L1 at the cell surface and in released membrane vesicles, suggesting a vesicle-based protease activity (By similarity). Controls also the proteolytic processing of Notch and mediates lateral inhibition during neurogenesis (By similarity). Responsible for the FasL ectodomain shedding and for the generation of the remnant ADAM10-processed FasL (FasL APL) transmembrane form (By similarity). Also cleaves the ectodomain of the integral membrane proteins CORIN and ITM2B (By similarity). Mediates the proteolytic cleavage of LAG3, leading to release the secreted form of LAG3 (By similarity). Enhances the cleavage of CHL1 by BACE1 (By similarity). Cleaves NRCAM (By similarity). Cleaves TREM2, resulting in shedding of the TREM2 ectodomain (By similarity). Involved in the development and maturation of glomerular and coronary vasculature (By similarity). During development of the cochlear organ of Corti, promotes pillar cell separation by forming a ternary complex with CADH1 and EPHA4 and cleaving CADH1 at adherens junctions (By similarity). May regulate the EFNA5-EPHA3 signaling (By similarity). "
1288,R037209c0g1_i01,2,g25765,NAN,DKC1,H/ACA ribonucleoprotein complex subunit DKC1 (EC 5.4.99.-) (CBF5 homolog) (Dyskerin) (Nopp140-associated protein of 57 kDa) (Nucleolar protein NAP57) (Nucleolar protein family A member 4) (snoRNP protein DKC1),DKC1 NOLA4,RNA processing [GO:0006396]; box H/ACA snoRNA 3'-end processing [GO:0000495]; enzyme-directed rRNA pseudouridine synthesis [GO:0000455]; mRNA pseudouridine synthesis [GO:1990481]; positive regulation of establishment of protein localization to telomere [GO:1904851]; positive regulation of protein localization to Cajal body [GO:1904871]; positive regulation of telomerase RNA localization to Cajal body [GO:1904874]; positive regulation of telomerase activity [GO:0051973]; positive regulation of telomere maintenance via telomerase [GO:0032212]; rRNA processing [GO:0006364]; rRNA pseudouridine synthesis [GO:0031118]; regulation of telomerase RNA localization to Cajal body [GO:1904872]; scaRNA localization to Cajal body [GO:0090666]; snRNA pseudouridine synthesis [GO:0031120]; telomerase RNA stabilization [GO:0090669]; telomere maintenance via telomerase [GO:0007004],"Isoform 1: Catalytic subunit of H/ACA small nucleolar ribonucleoprotein (H/ACA snoRNP) complex, which catalyzes pseudouridylation of rRNA (PubMed:25219674). This involves the isomerization of uridine such that the ribose is subsequently attached to C5, instead of the normal N1 (PubMed:25219674). Each rRNA can contain up to 100 pseudouridine ('psi') residues, which may serve to stabilize the conformation of rRNAs. Required for ribosome biogenesis and telomere maintenance (PubMed:19179534, PubMed:25219674). Also required for correct processing or intranuclear trafficking of TERC, the RNA component of the telomerase reverse transcriptase (TERT) holoenzyme (PubMed:19179534). "
1289,R037212c0g1_i05,5,g30658,NAN,DRAP1,Dr1-associated corepressor (Dr1-associated protein 1) (Negative cofactor 2-alpha) (NC2-alpha),DRAP1,NA,The association of the DR1/DRAP1 heterodimer with TBP results in a functional repression of both activated and basal transcription of class II genes. This interaction precludes the formation of a transcription-competent complex by inhibiting the association of TFIIA and/or TFIIB with TBP. Can bind to DNA on its own (By similarity). 
1290,R037226c2g2_i01,2,g24016,NAN,GCSH,Glycine cleavage system H protein,gcvH BARBAKC583_1095,glycine decarboxylation via glycine cleavage system [GO:0019464],The glycine cleavage system catalyzes the degradation of glycine. The H protein shuttles the methylamine group of glycine from the P protein to the T protein. 
1291,R037230c0g1_i01,1,g21976,NAN,NA,GTP-binding protein Di-Ras1 (Distinct subgroup of the Ras family member 1) (Ras-related inhibitor of cell growth) (Rig) (Small GTP-binding tumor suppressor 1),DIRAS1 GBTS1 RIG,signal transduction [GO:0007165],Displays low GTPase activity and exists predominantly in the GTP-bound form. 
1292,R037243c1g1_i04,8,g16394,NAN,NA,AT-rich interactive domain-containing protein 3A (ARID domain-containing protein 3A) (B-cell regulator of IgH transcription) (Bright) (Dead ringer-like protein 1),Arid3a Dri1 Dril1,"positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription, DNA-templated [GO:0006355]",Transcription factor involved in B-cell differentiation. Binds a VH promoter proximal site necessary for induced mu-heavy-chain transcription. Binds the minor groove of a restricted ATC sequence that is sufficient for nuclear matrix association. This sequence motif is present in matrix-associating regions (MARS) proximal to the promoter and flanking E mu. Activates E mu-driven transcription by binding these sites. May be involved in the control of cell cycle progression by the RB1/E2F1 pathway. 
1293,R037258c0g1_i02,2,g419,NAN,DEK,Protein DEK,Dek,chromatin organization [GO:0006325]; regulation of double-strand break repair [GO:2000779]; regulation of double-strand break repair via nonhomologous end joining [GO:2001032],Involved in chromatin organization. 
1294,R037264c0g1_i01,1,g16235,NAN,NA,Pyroglutamylated RF-amide peptide receptor (AQ27) (G-protein coupled receptor 103) (Orexigenic neuropeptide QRFP receptor) (SP9155),QRFPR GPR103,G protein-coupled receptor signaling pathway [GO:0007186],Receptor for the orexigenic neuropeptide QRFP. The activity of this receptor is mediated by G proteins that modulate adenylate cyclase activity and intracellular calcium levels. 
1295,R037273c0g3_i04,5,g14936,NAN,LUC7L3,Luc7-like protein 3 (Cisplatin resistance-associated-overexpressed protein),Luc7l3 Crop,RNA splicing [GO:0008380]; mRNA splice site selection [GO:0006376],Binds cAMP regulatory element DNA sequence. May play a role in RNA splicing (By similarity). 
1296,R037274c1g1_i01,2,g15345,NAN,SLC44A5,Choline transporter-like protein 4 (Solute carrier family 44 member 4),slc44a4 ctl4,acetylcholine biosynthetic process [GO:0008292]; acetylcholine secretion [GO:0061526]; choline transport [GO:0015871]; neuromast hair cell development [GO:0035675]; otolith formation [GO:0032475]; positive regulation of cell growth [GO:0030307],Choline transporter that seems to play a role in the choline-acetylcholine system and is required to the efferent innervation of hair cells in the olivocochlear bundle for the maintenance of physiological function of outer hair cells and the protection of hair cells from acoustic injury. 
1297,R037279c1g1_i01,6,g20600,NAN,NA,Protein Aster-B (GRAM domain-containing protein 1B),Gramd1b Kiaa1201,cellular response to cholesterol [GO:0071397]; cholesterol homeostasis [GO:0042632],"Cholesterol transporter that mediates non-vesicular transport of cholesterol from the plasma membrane (PM) to the endoplasmic reticulum (ER) (PubMed:30220461). Contains unique domains for binding cholesterol and the PM, thereby serving as a molecular bridge for the transfer of cholesterol from the PM to the ER (PubMed:30220461). Plays a crucial role in cholesterol homeostasis in the adrenal gland and has the unique ability to localize to the PM based on the level of membrane cholesterol (PubMed:30220461). In lipid-poor conditions localizes to the ER membrane and in response to excess cholesterol in the PM is recruited to the endoplasmic reticulum-plasma membrane contact sites (EPCS) which is mediated by the GRAM domain (PubMed:30220461). At the EPCS, the sterol-binding VASt/ASTER domain binds to the cholesterol in the PM and facilitates its transfer from the PM to ER (PubMed:30220461). "
1298,R037285c1g1_i01,8,g31922,NAN,NA,Innexin inx4 (Innexin-4) (Protein zero population growth),zpg inx4 CG10125,germ cell development [GO:0007281]; intercellular transport [GO:0010496]; ion transport [GO:0006811]; male germ-line stem cell population maintenance [GO:0036098]; spermatogenesis [GO:0007283],Structural component of the gap junctions in germline cells. Required for differentiation and survival of germline cysts in females and of spermatogonia in males; gap junctional communication between spermatogonia and somatic cyst cells may be required for normal differentiation and survival of spermatogonia. 
1299,R037287c0g1_i01,2,g25108,NAN,UBE3A,Ubiquitin-protein ligase E3A (EC 2.3.2.26) (E6AP ubiquitin-protein ligase) (HECT-type ubiquitin transferase E3A) (Human papillomavirus E6-associated protein) (Oncogenic protein-associated protein E6-AP) (Renal carcinoma antigen NY-REN-54),UBE3A E6AP EPVE6AP HPVE6A,androgen receptor signaling pathway [GO:0030521]; brain development [GO:0007420]; cellular response to brain-derived neurotrophic factor stimulus [GO:1990416]; negative regulation of dendritic spine morphogenesis [GO:0061002]; ovarian follicle development [GO:0001541]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of transcription by RNA polymerase II [GO:0045944]; progesterone receptor signaling pathway [GO:0050847]; prostate gland growth [GO:0060736]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K48-linked ubiquitination [GO:0070936]; protein autoubiquitination [GO:0051865]; protein polyubiquitination [GO:0000209]; proteolysis [GO:0006508]; regulation of circadian rhythm [GO:0042752]; regulation of ubiquitin-dependent protein catabolic process [GO:2000058]; response to cocaine [GO:0042220]; response to hydrogen peroxide [GO:0042542]; response to progesterone [GO:0032570]; rhythmic process [GO:0048511]; sperm entry [GO:0035037]; ubiquitin-dependent protein catabolic process [GO:0006511]; viral process [GO:0016032],"E3 ubiquitin-protein ligase which accepts ubiquitin from an E2 ubiquitin-conjugating enzyme in the form of a thioester and transfers it to its substrates (PubMed:10373495, PubMed:16772533, PubMed:19204938, PubMed:19233847, PubMed:19325566, PubMed:19591933, PubMed:22645313, PubMed:24273172, PubMed:24728990). Several substrates have been identified including the ARNTL/BMAL1, ARC, RAD23A and RAD23B, MCM7 (which is involved in DNA replication), annexin A1, the PML tumor suppressor, and the cell cycle regulator CDKN1B (PubMed:10373495, PubMed:19204938, PubMed:19325566, PubMed:19591933, PubMed:22645313, PubMed:24728990). Additionally, may function as a cellular quality control ubiquitin ligase by helping the degradation of the cytoplasmic misfolded proteins (PubMed:19233847). Finally, UBE3A also promotes its own degradation in vivo. Plays an important role in the regulation of the circadian clock: involved in the ubiquitination of the core clock component ARNTL/BMAL1, leading to its proteasomal degradation (PubMed:24728990). Acts as transcriptional coactivator of progesterone receptor PGR upon progesterone hormone activation (PubMed:16772533). Acts as a regulator of synaptic development by mediating ubiquitination and degradation of ARC (By similarity). Synergizes with WBP2 in enhancing PGR activity (PubMed:16772533). "
1300,R037297c1g1_i01,4,g12884,NAN,MANF,Mesencephalic astrocyte-derived neurotrophic factor (Arginine-rich protein) (Protein ARMET),MANF ARMET ARP,dopaminergic neuron differentiation [GO:0071542]; neuron projection development [GO:0031175]; response to unfolded protein [GO:0006986],"Selectively promotes the survival of dopaminergic neurons of the ventral mid-brain. Modulates GABAergic transmission to the dopaminergic neurons of the substantia nigra. Enhances spontaneous, as well as evoked, GABAergic inhibitory postsynaptic currents in dopaminergic neurons. Inhibits cell proliferation and endoplasmic reticulum (ER) stress-induced cell death. Retained in the ER/sarcoplasmic reticulum (SR) through association with the endoplasmic reticulum chaperone protein HSPA5 under normal conditions. Up-regulated and secreted by the ER/SR in response to ER stress and hypoxia. Following secretion by the ER/SR, directly binds to 3-O-sulfogalactosylceramide, a lipid sulfatide in the outer cell membrane of target cells. Sulfatide binding promotes its cellular uptake by endocytosis, and is required for its role in alleviating ER stress and cell toxicity under hypoxic and ER stress conditions. "
1301,R037298c1g1_i02,4,g30490,NAN,MCEE,"Methylmalonyl-CoA epimerase, mitochondrial (EC 5.1.99.1) (DL-methylmalonyl-CoA racemase)",MCEE,L-methylmalonyl-CoA metabolic process [GO:0046491],NA
1302,R037301c1g3_i01,6,g32641,IRF-2 ,IRF1,NA,IRF-2 ,NA,NA
1303,R037310c1g2_i01,9,g22300,NAN,NA,Ras-like protein family member 12 (RAS-like protein Ris),RASL12 zgc:63633,signal transduction [GO:0007165],NA
1304,R037337c0g1_i01,8,g33634,NAN,NA,NA,NA,NA,NA
1305,R037344c0g1_i02,7,g30413,mGluR8,NA,Metabotropic glutamate receptor 8 (mGluR8),Grm8 Gprc1h Mglur8,"G protein-coupled glutamate receptor signaling pathway [GO:0007216]; adenylate cyclase-inhibiting G protein-coupled glutamate receptor signaling pathway [GO:0007196]; chemical synaptic transmission [GO:0007268]; detection of mechanical stimulus involved in sensory perception of pain [GO:0050966]; regulation of neuron death [GO:1901214]; regulation of neurotransmitter secretion [GO:0046928]; regulation of synaptic transmission, glutamatergic [GO:0051966]; regulation of synaptic vesicle exocytosis [GO:2000300]; sensory perception of pain [GO:0019233]; synaptic transmission, glutamatergic [GO:0035249]",G-protein coupled receptor for glutamate. Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors. Signaling inhibits adenylate cyclase activity.
1306,R037377c0g1_i01,5,g18010,NAN,NA,Amyloid beta A4 precursor protein-binding family B member 1-interacting protein (APBB1-interacting protein 1) (Proline-rich EVH1 ligand 1) (PREL-1) (Proline-rich protein 48),Apbb1ip Prel1,T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell [GO:0002291]; positive regulation of cell adhesion [GO:0045785]; signal transduction [GO:0007165],Appears to function in the signal transduction from Ras activation to actin cytoskeletal remodeling. Suppresses insulin-induced promoter activities through AP1 and SRE. Mediates Rap1-induced adhesion (By similarity). 
1307,R037377c0g2_i01,1,NA,NAN,NA,NA,NA,NA,NA
1308,R037379c0g1_i03,8,g24406,FGFR-3,FGFR2,Fibroblast growth factor receptor 1 (FGFR-1) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1) (BFGFR) (bFGF-R-1) (Fms-like tyrosine kinase 2) (FLT-2) (N-sam) (Proto-oncogene c-Fgr) (CD antigen CD331),FGFR1 BFGFR CEK FGFBR FLG FLT2 HBGFR,MAPK cascade [GO:0000165]; angiogenesis [GO:0001525]; auditory receptor cell development [GO:0060117]; branching involved in salivary gland morphogenesis [GO:0060445]; cell maturation [GO:0048469]; cell migration [GO:0016477]; chondrocyte differentiation [GO:0002062]; chordate embryonic development [GO:0043009]; embryonic limb morphogenesis [GO:0030326]; fibroblast growth factor receptor signaling pathway [GO:0008543]; fibroblast growth factor receptor signaling pathway involved in orbitofrontal cortex development [GO:0035607]; in utero embryonic development [GO:0001701]; inner ear morphogenesis [GO:0042472]; lung-associated mesenchyme development [GO:0060484]; mesenchymal cell differentiation [GO:0048762]; midbrain development [GO:0030901]; middle ear morphogenesis [GO:0042474]; negative regulation of fibroblast growth factor production [GO:0090272]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nervous system development [GO:0007399]; neuron migration [GO:0001764]; organ induction [GO:0001759]; outer ear morphogenesis [GO:0042473]; paraxial mesoderm development [GO:0048339]; peptidyl-tyrosine phosphorylation [GO:0018108]; phosphatidylinositol-mediated signaling [GO:0048015]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of MAPKKK cascade by fibroblast growth factor receptor signaling pathway [GO:0090080]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of cardiac muscle cell proliferation [GO:0060045]; positive regulation of cell differentiation [GO:0045597]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of endothelial cell chemotaxis to fibroblast growth factor [GO:2000546]; positive regulation of mesenchymal cell proliferation [GO:0002053]; positive regulation of mitotic cell cycle DNA replication [GO:1903465]; positive regulation of neuron differentiation [GO:0045666]; positive regulation of neuron projection development [GO:0010976]; positive regulation of parathyroid hormone secretion [GO:2000830]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; positive regulation of phospholipase C activity [GO:0010863]; positive regulation of phospholipase activity [GO:0010518]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of vascular endothelial cell proliferation [GO:1905564]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of branching involved in salivary gland morphogenesis by mesenchymal-epithelial signaling [GO:0060665]; regulation of cell differentiation [GO:0045595]; regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001239]; regulation of lateral mesodermal cell fate specification [GO:0048378]; regulation of phosphate transport [GO:0010966]; sensory perception of sound [GO:0007605]; skeletal system development [GO:0001501]; skeletal system morphogenesis [GO:0048705]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]; ureteric bud development [GO:0001657]; ventricular zone neuroblast division [GO:0021847]; vitamin D3 metabolic process [GO:0070640],"Tyrosine-protein kinase that acts as cell-surface receptor for fibroblast growth factors and plays an essential role in the regulation of embryonic development, cell proliferation, differentiation and migration. Required for normal mesoderm patterning and correct axial organization during embryonic development, normal skeletogenesis and normal development of the gonadotropin-releasing hormone (GnRH) neuronal system. Phosphorylates PLCG1, FRS2, GAB1 and SHB. Ligand binding leads to the activation of several signaling cascades. Activation of PLCG1 leads to the production of the cellular signaling molecules diacylglycerol and inositol 1,4,5-trisphosphate. Phosphorylation of FRS2 triggers recruitment of GRB2, GAB1, PIK3R1 and SOS1, and mediates activation of RAS, MAPK1/ERK2, MAPK3/ERK1 and the MAP kinase signaling pathway, as well as of the AKT1 signaling pathway. Promotes phosphorylation of SHC1, STAT1 and PTPN11/SHP2. In the nucleus, enhances RPS6KA1 and CREB1 activity and contributes to the regulation of transcription. FGFR1 signaling is down-regulated by IL17RD/SEF, and by FGFR1 ubiquitination, internalization and degradation. "
1309,R037390c0g5_i02,7,g24823,NAN,PLK2,Serine/threonine-protein kinase PLK1 (EC 2.7.11.21) (Polo-like kinase 1) (PLK-1),Plk1 Plk,G2/M transition of mitotic cell cycle [GO:0000086]; centrosome cycle [GO:0007098]; microtubule bundle formation [GO:0001578]; mitotic cell cycle [GO:0000278]; mitotic cytokinesis [GO:0000281]; mitotic sister chromatid segregation [GO:0000070]; mitotic spindle assembly checkpoint [GO:0007094]; negative regulation of apoptotic process [GO:0043066]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nuclear envelope disassembly [GO:0051081]; polar body extrusion after meiotic divisions [GO:0040038]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of ubiquitin protein ligase activity [GO:1904668]; positive regulation of ubiquitin-protein transferase activity [GO:0051443]; protein localization to chromatin [GO:0071168]; protein localization to nuclear envelope [GO:0090435]; protein phosphorylation [GO:0006468]; regulation of cytokinesis [GO:0032465]; response to antibiotic [GO:0046677]; signal transduction involved in G2 DNA damage checkpoint [GO:0072425],"Serine/threonine-protein kinase that performs several important functions throughout M phase of the cell cycle, including the regulation of centrosome maturation and spindle assembly, the removal of cohesins from chromosome arms, the inactivation of anaphase-promoting complex/cyclosome (APC/C) inhibitors, and the regulation of mitotic exit and cytokinesis. Polo-like kinase proteins acts by binding and phosphorylating proteins are that already phosphorylated on a specific motif recognized by the POLO box domains. Phosphorylates BORA, BUB1B/BUBR1, CCNB1, CDC25C, CEP55, ECT2, ERCC6L, FBXO5/EMI1, FOXM1, KIF20A/MKLP2, CENPU, NEDD1, NINL, NPM1, NUDC, PKMYT1/MYT1, KIZ, PPP1R12A/MYPT1, PRC1, RACGAP1/CYK4, SGO1, STAG2/SA2, TEX14, TOPORS, p73/TP73, TPT1, WEE1 and HNRNPU. Plays a key role in centrosome functions and the assembly of bipolar spindles by phosphorylating KIZ, NEDD1 and NINL. NEDD1 phosphorylation promotes subsequent targeting of the gamma-tubulin ring complex (gTuRC) to the centrosome, an important step for spindle formation. Phosphorylation of NINL component of the centrosome leads to NINL dissociation from other centrosomal proteins. Involved in mitosis exit and cytokinesis by phosphorylating CEP55, ECT2, KIF20A/MKLP2, CENPU, PRC1 and RACGAP1. Recruited at the central spindle by phosphorylating and docking PRC1 and KIF20A/MKLP2; creates its own docking sites on PRC1 and KIF20A/MKLP2 by mediating phosphorylation of sites subsequently recognized by the POLO box domains. Phosphorylates RACGAP1, thereby creating a docking site for the Rho GTP exchange factor ECT2 that is essential for the cleavage furrow formation. Promotes the central spindle recruitment of ECT2. Plays a central role in G2/M transition of mitotic cell cycle by phosphorylating CCNB1, CDC25C, FOXM1, CENPU, PKMYT1/MYT1, PPP1R12A/MYPT1 and WEE1. Part of a regulatory circuit that promotes the activation of CDK1 by phosphorylating the positive regulator CDC25C and inhibiting the negative regulators WEE1 and PKMYT1/MYT1. Also acts by mediating phosphorylation of cyclin-B1 (CCNB1) on centrosomes in prophase. Phosphorylates FOXM1, a key mitotic transcription regulator, leading to enhance FOXM1 transcriptional activity. Involved in kinetochore functions and sister chromatid cohesion by phosphorylating BUB1B/BUBR1, FBXO5/EMI1 and STAG2/SA2. PLK1 is high on non-attached kinetochores suggesting a role of PLK1 in kinetochore attachment or in spindle assembly checkpoint (SAC) regulation. Required for kinetochore localization of BUB1B. Regulates the dissociation of cohesin from chromosomes by phosphorylating cohesin subunits such as STAG2/SA2. Phosphorylates SGO1: required for spindle pole localization of isoform 3 of SGO1 and plays a role in regulating its centriole cohesion function. Mediates phosphorylation of FBXO5/EMI1, a negative regulator of the APC/C complex during prophase, leading to FBXO5/EMI1 ubiquitination and degradation by the proteasome. Acts as a negative regulator of p53 family members: phosphorylates TOPORS, leading to inhibit the sumoylation of p53/TP53 and simultaneously enhance the ubiquitination and subsequent degradation of p53/TP53. Phosphorylates the transactivation domain of the transcription factor p73/TP73, leading to inhibit p73/TP73-mediated transcriptional activation and pro-apoptotic functions. Phosphorylates BORA, and thereby promotes the degradation of BORA. Contributes to the regulation of AURKA function. Also required for recovery after DNA damage checkpoint and entry into mitosis.Phosphorylates MISP, leading to stabilization of cortical and astral microtubule attachments required for proper spindle positioning. Together with MEIKIN, acts as a regulator of kinetochore function during meiosis I: required both for mono-orientation of kinetochores on sister chromosomes and protection of centromeric cohesin from separase-mediated cleavage. Phosphorylates CEP68 and is required for its degradation. Regulates nuclear envelope breakdown during prophase by phosphorylating DCTN1 resulting in its localization in the nuclear envelope. Phosphorylates the heat shock transcription factor HSF1, promoting HSF1 nuclear translocation upon heat shock. Phosphorylates HSF1 also in the early mitotic period; this phosphorylation regulates HSF1 localization to the spindle pole, the recruitment of the SCF(BTRC) ubiquitin ligase complex induicing HSF1 degradation, and hence mitotic progression. Regulates mitotic progression by phosphorylating RIOK2 (By similarity). "
1310,R037398c0g1_i01,4,g1269,NAN,NA,Properdin (Complement factor P),Cfp Pfc,"complement activation, alternative pathway [GO:0006957]",A positive regulator of the alternate pathway of complement. It binds to and stabilizes the C3- and C5-convertase enzyme complexes.
1311,R037410c0g2_i02,9,g32158,NAN,NA,Arachidonate 5-lipoxygenase (5-LO) (5-lipoxygenase) (EC 1.13.11.34),ALOX5,leukotriene biosynthetic process [GO:0019370],"Catalyzes the first step in leukotriene biosynthesis, and thereby plays a role in inflammatory processes."
1312,R037414c1g1_i04,7,g3755,Gal3ST-3,GAL3ST3,"Galactose-3-O-sulfotransferase 3 (Gal3ST-3) (EC 2.8.2.-) (Beta-galactose-3-O-sulfotransferase 3) (Gal-beta-1, 3-GalNAc 3'-sulfotransferase 3)",Gal3st3,glycolipid biosynthetic process [GO:0009247],"Transfers a sulfate to position 3 of non-reducing beta-galactosyl residues in N-glycans and core2-branched O-glycans. Has high activity towards Gal-beta-1,4-GlcNAc, Gal-beta-1,4(Fuc-alpha-1,3)GlcNAc and lower activity towards Gal-beta-1,3(Fuc-alpha-1,4)GlcNAc (By similarity). "
1313,R037416c0g1_i01,9,g16434,NAN,PDZRN4,E3 ubiquitin-protein ligase PDZRN3 (EC 2.3.2.27) (Ligand of Numb protein X 3) (PDZ domain-containing RING finger protein 3) (RING-type E3 ubiquitin transferase PDZRN3) (Semaphorin cytoplasmic domain-associated protein 3) (Protein SEMACAP3),PDZRN3 KIAA1095 LNX3 SEMCAP3,neuromuscular junction development [GO:0007528]; protein ubiquitination [GO:0016567],"E3 ubiquitin-protein ligase. Plays an important role in regulating the surface level of MUSK on myotubes. Mediates the ubiquitination of MUSK, promoting its endocytosis and lysosomal degradation. Might contribute to terminal myogenic differentiation. "
